name,area (um),power (W),delay (ps),slack (ps),clock (ps)
sbox_full_lut,269.255,1.88762e-03,50,0,50
sbox_full_lut,216.416,7.27454e-04,74,1,75
sbox_full_lut,214.352,6.92838e-04,83,17,100
sbox_full_lut,215.335,5.54049e-04,86,39,125
sbox_full_lut,213.713,4.62024e-04,82,68,150
sbox_full_lut,213.713,3.97823e-04,82,93,175
sbox_full_lut,213.713,3.49531e-04,82,118,200
sbox_full_lut,213.713,3.11970e-04,82,143,225
sbox_full_lut,213.713,2.81922e-04,82,168,250
sbox_full_lut,213.713,2.57337e-04,82,193,275
sbox_full_lut,213.713,2.36849e-04,82,218,300
sbox_inv_lut,273.285,1.82216e-03,74,2,75
sbox_inv_lut,283.214,1.85794e-03,83,17,100
sbox_inv_lut,282.526,1.48534e-03,97,28,125
sbox_inv_lut,152.076,8.33633e-04,136,14,150
sbox_inv_lut,149.570,6.98169e-04,137,38,175
sbox_inv_lut,149.570,6.11734e-04,137,63,200
sbox_inv_lut,149.373,5.42476e-04,136,89,225
sbox_inv_lut,149.373,4.88897e-04,136,114,250
sbox_inv_lut,149.373,4.45059e-04,136,139,275
sbox_inv_lut,149.373,4.08528e-04,136,164,300
sbox_canright,106.906,1.54280e-03,175,0,175
sbox_canright,59.523,9.17487e-04,193,7,200
sbox_canright,56.672,8.48611e-04,200,25,225
sbox_canright,56.672,8.18921e-04,200,50,250
sbox_canright,56.672,7.93065e-04,200,75,275
sbox_canright,56.672,7.70990e-04,200,100,300
sbox_depth16,109.658,1.58257e-03,149,1,150
sbox_depth16,98.550,1.34122e-03,175,0,175
sbox_depth16,94.077,1.22449e-03,183,17,200
sbox_depth16,98.845,1.25426e-03,197,28,225
sbox_depth16,98.501,1.19896e-03,195,55,250
sbox_depth16,98.501,1.15110e-03,195,80,275
sbox_depth16,98.501,1.10493e-03,195,105,300
sbox_new_area,78.250,1.37316e-03,149,1,150
sbox_new_area,63.750,1.06448e-03,173,2,175
sbox_new_area,59.621,9.83750e-04,189,11,200
sbox_new_area,59.572,9.39055e-04,187,38,225
sbox_new_area,59.572,9.02131e-04,187,63,250
sbox_new_area,59.572,8.68486e-04,187,88,275
sbox_new_area,59.572,8.41031e-04,189,111,300
sbox_maximov,90.046,1.56390e-03,100,0,100
sbox_maximov,67.879,1.18224e-03,119,6,125
sbox_maximov,67.338,1.08024e-03,127,23,150
sbox_maximov,67.338,9.83481e-04,127,48,175
sbox_maximov,67.338,9.05121e-04,127,73,200
sbox_maximov,66.847,8.26819e-04,125,100,225
sbox_maximov,66.847,7.63973e-04,125,125,250
sbox_maximov,66.847,7.01269e-04,125,150,275
sbox_maximov,66.847,6.47482e-04,125,175,300
sbox_bdd,301.793,2.82227e-03,50,0,50
sbox_bdd,207.028,2.38016e-03,74,1,75
sbox_bdd,204.767,2.30248e-03,87,13,100
sbox_bdd,204.423,1.85058e-03,96,29,125
sbox_bdd,204.325,1.54887e-03,105,45,150
sbox_bdd,204.325,1.32874e-03,105,70,175
sbox_bdd,204.325,1.16365e-03,105,95,200
sbox_bdd,204.325,1.03524e-03,105,120,225
sbox_bdd,204.325,9.32515e-04,105,145,250
sbox_bdd,204.325,8.48467e-04,105,170,275
sbox_bdd,204.325,7.78426e-04,105,195,300
sbox_pprm,128.041,1.71191e-03,175,0,175
sbox_pprm,90.784,1.36511e-03,198,2,200
sbox_pprm,84.001,1.24694e-03,218,7,225
sbox_pprm,83.706,1.18042e-03,217,33,250
sbox_pprm,83.509,1.14404e-03,221,54,275
sbox_pprm,83.509,1.10999e-03,221,79,300